timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-11-25 23:45:00,139.27,139.3,138.85,138.96,31604.296,2025-11-25 23:59:59.999,4393810.23238,13209,17825.503,2478184.98452
2025-11-26 00:00:00,138.96,139.49,138.81,139.49,21393.211,2025-11-26 00:14:59.999,2976657.9017,18236,9508.191,1323333.52495
2025-11-26 00:15:00,139.48,139.87,139.2,139.4,20665.427,2025-11-26 00:29:59.999,2885156.96139,18479,9863.851,1377518.99459
2025-11-26 00:30:00,139.39,139.76,139.1,139.38,20191.235,2025-11-26 00:44:59.999,2814692.2438,14740,10414.285,1451316.58323
2025-11-26 00:45:00,139.37,139.66,139.02,139.04,24196.263,2025-11-26 00:59:59.999,3371519.33401,14767,13357.826,1861389.96867
2025-11-26 01:00:00,139.04,139.06,138.57,138.9,28283.758,2025-11-26 01:14:59.999,3926056.61568,13348,10188.625,1413835.93599
2025-11-26 01:15:00,138.89,139.49,138.73,139.49,12546.475,2025-11-26 01:29:59.999,1744825.09106,13500,7106.441,988383.7702
2025-11-26 01:30:00,139.49,140.68,139.31,140.31,49412.141,2025-11-26 01:44:59.999,6920476.42034,29719,33385.565,4677081.18043
2025-11-26 01:45:00,140.32,140.39,139.73,140.02,30853.996,2025-11-26 01:59:59.999,4319886.01642,17216,20000.661,2800391.21527
2025-11-26 02:00:00,140.01,140.23,139.76,139.92,25757.702,2025-11-26 02:14:59.999,3606620.15481,13777,16986.978,2378727.96666
2025-11-26 02:15:00,139.91,140.15,139.56,139.58,36463.385,2025-11-26 02:29:59.999,5099397.53759,15215,17078.197,2388240.19481
2025-11-26 02:30:00,139.57,139.58,139.06,139.5,30644.285,2025-11-26 02:44:59.999,4269443.61188,15052,7664.474,1067771.25349
2025-11-26 02:45:00,139.5,139.59,139.17,139.25,19294.964,2025-11-26 02:59:59.999,2689357.00437,11691,3477.218,484641.2683
2025-11-26 03:00:00,139.26,139.37,138.93,139.15,20152.372,2025-11-26 03:14:59.999,2803777.0562,13217,4910.07,683188.82923
2025-11-26 03:15:00,139.15,139.78,139.06,139.59,16106.536,2025-11-26 03:29:59.999,2247121.06653,10944,5854.14,816810.3865
2025-11-26 03:30:00,139.59,139.59,138.41,138.51,36387.139,2025-11-26 03:44:59.999,5050966.7173,21373,8242.755,1144341.65593
2025-11-26 03:45:00,138.52,138.57,137.92,138.15,74280.044,2025-11-26 03:59:59.999,10263908.4298,18548,29550.944,4082783.07589
2025-11-26 04:00:00,138.15,138.48,137.72,137.95,31843.638,2025-11-26 04:14:59.999,4398415.17831,16259,15876.901,2193475.64663
2025-11-26 04:15:00,137.95,138.5,137.95,138.38,16742.033,2025-11-26 04:29:59.999,2315177.06492,9372,7534.368,1042166.07304
